num_models,fold,doc_offset,model_span,model_ent_type,error_type,corpus_span,corpus_ent_type,correct_span,correct_ent_type,notes,time_started,time_stopped,time_elapsed
17,dev,0,"[2225, 2235): 'ex-England'",LOC,None,,MISC,,,,6/15/20 14:54,,
,dev,2,,,Tag,"[61, 70): 'Australia'",LOC,,ORG,Cricket team,,,
,dev,2,,,Tag,"[122, 129): 'England'",LOC,,ORG,Cricket team,,,
15,dev,2,"[189, 193): 'Test'",ORG,None,"[189, 218): 'Test and County Cricket Board'",,,,,,,
,dev,2,,,Tag,"[235, 244): 'Australia'",LOC,,ORG,Cricket team,,,
14,dev,2,"[614, 629): 'Duke of Norfolk'",ORG,None,"[614, 634): 'Duke of Norfolk's XI'",,,,,,,
,dev,2,,,Tag,"[525, 533): 'Scotland'",LOC,,ORG,Cricket team,,,
16,dev,2,"[760, 765): 'Leeds'",LOC,Tag,,ORG,,,,,,
,dev,2,,,Tag,"[1354, 1362): 'Scotland'",LOC,,ORG,,,,
14,dev,5,"[45, 53): 'UNDER-21'",MISC,None,,,,,,,,
17,dev,6,"[262, 267): 'Rotor'",PER,None,,ORG,,,,,,
17,dev,6,"[399, 404): 'Rotor'",PER,None,,ORG,,,,,,
16,dev,6,"[567, 572): 'Rotor'",PER,None,,ORG,,,,,,
15,dev,7,"[116, 123): 'Roberto'",PER,None,"[116, 148): 'Roberto "" Hands of Stone "" Duran'",,,,,,,
15,dev,7,"[993, 1022): 'Panamanian Boxing Association'",ORG,None,"[1004, 1022): 'Boxing Association'",,,,,,,
17,dev,11,"[1961, 1975): 'Czech Republic'",,Sentence,"[1961, 1966): 'Czech'",LOC,,,See next line,,,
17,dev,11,"[1961, 1975): 'Czech Republic'",LOC,Sentence,"[1967, 1975): 'Republic'",LOC,,,"Sentence boundary between ""Czech"" and ""Republic""",,,
14,dev,12,"[1290, 1310): 'MONTREAL LOS ANGELES'",LOC,None,,,,,,,,
16,dev,12,"[1366, 1383): 'NEW YORK COLORADO'",LOC,None,,,,,,,,
17,dev,13,"[83, 104): 'Major League Baseball'",MISC,Sentence,"[83, 95): 'Major League'",MISC,,,"Sentence boundary between ""League"" and ""Baseball""",,6/15/20 15:01,
15,dev,14,"[3579, 3583): 'Rios'",ORG,None,,PER,,,,6/15/20 15:54,,
16,dev,14,"[452, 459): 'Stadium'",LOC,Missing,,,,,"""Stadium"" with a capital ""S"", referring to Arthur Ashe Stadium",,,
16,dev,15,"[109, 133): 'National Football League'",MISC,None,,ORG,,,,,,
17,dev,16,"[407, 418): 'Willie Wood'",PER,Sentence,"[407, 413): 'Willie'",PER,,,"Sentence boundary between ""Willie"" and ""Wood""",,,
17,dev,16,"[407, 418): 'Willie Wood'",PER,Sentence,"[414, 418): 'Wood'",PER,,,"Sentence boundary between ""Willie"" and ""Wood""",,,
17,dev,16,"[529, 538): 'Ken Green'",PER,Sentence,"[529, 532): 'Ken'",PER,,,"Sentence boundary between ""Ken"" and ""Green""",,,
17,dev,16,"[529, 538): 'Ken Green'",PER,Sentence,"[533, 538): 'Green'",PER,,,"Sentence boundary between ""Ken"" and ""Green""",,,
,dev,20,,,Sentence,"[90, 96): 'Berlin'",MISC,"[90, 107): 'Berlin Grand Prix'",,"Sentence boundary between ""Berlin"" and ""Grand""",,,
,dev,20,,,Sentence,"[97, 107): 'Grand Prix'",MISC,"[90, 107): 'Berlin Grand Prix'",,"Sentence boundary between ""Berlin"" and ""Grand""",,,
17,dev,20,"[5415, 5433): 'Frankie Fredericks'",PER,Sentence,"[5415, 5422): 'Frankie'",PER,,,"Sentence boundary between ""Frankie"" and ""Fredericks""",,,
17,dev,20,"[5415, 5433): 'Frankie Fredericks'",PER,Sentence,"[5423, 5433): 'Fredericks'",PER,,,"Sentence boundary between ""Frankie"" and ""Fredericks""",,,
17,dev,20,"[5643, 5665): 'George Panayiotopoulos'",PER,Sentence,"[5643, 5649): 'George'",PER,,,"Sentence boundary between ""George"" and ""Panayiotopoulos""",,,
17,dev,20,"[5643, 5665): 'George Panayiotopoulos'",PER,Sentence,"[5650, 5665): 'Panayiotopoulos'",PER,,,"Sentence boundary between ""George"" and ""Panayiotopoulos""",,,
