num_models,fold,doc_offset,model_span,model_ent_type,error_type,corpus_span,corpus_ent_type,correct_span,correct_ent_type,notes,time_started,time_stopped,time_elapsed
16,dev,0,"[2225, 2235): 'ex-England'",LOC,None,"[2225, 2235): 'ex-England'",MISC,,,,7/2/20 10:18,,
14,dev,2,"[189, 193): 'Test'",ORG,None,"[189, 218): 'Test and County Cricket Board'",ORG,,,,,,
13,dev,2,"[614, 629): 'Duke of Norfolk'",ORG,None,"[614, 634): 'Duke of Norfolk's XI'",,,,,,,
17,dev,2,"[760, 765): 'Leeds'",LOC,Tag,,ORG,,,,,,
12,dev,5,"[45, 53): 'UNDER-21'",MISC,None,,,,,,,,
17,dev,6,"[262, 267): 'Rotor'",PER,None,,ORG,,,,,,
17,dev,6,"[399, 404): 'Rotor'",PER,None,,ORG,,,,,,
17,dev,6,"[567, 572): 'Rotor'",PER,None,,ORG,,,,,,
15,dev,7,"[116, 123): 'Roberto'",PER,None,"[116, 148): 'Roberto "" Hands of Stone "" Duran'",,,,,,,
15,dev,7,"[993, 1022): 'Panamanian Boxing Association'",ORG,Both,"[993, 1003): 'Panamanian'",MISC,"[993, 1022): 'Panamanian Boxing Association'",ORG,,,,
15,dev,7,"[993, 1022): 'Panamanian Boxing Association'",ORG,Span,"[1004, 1022): 'Boxing Association'",ORG,"[993, 1022): 'Panamanian Boxing Association'",ORG,,,,
15,dev,10,"[261, 265): 'Note'",ORG,None,,,,,,,,
17,dev,11,"[1961, 1975): 'Czech Republic'",LOC,Sentence,"[1961, 1966): 'Czech'",LOC,,,"Sentence boundary between ""Czech"" and ""Republic""",,,
17,dev,11,"[1961, 1975): 'Czech Republic'",LOC,Sentence,"[1967, 1975): 'Republic'",LOC,,,"Sentence boundary between ""Czech"" and ""Republic""",,,
,dev,12,,,Wrong,"[232, 248): 'EASTERN DIVISION'",MISC,,,Divisions of leagues not considered entities,,,
,dev,12,,,Wrong,"[380, 396): 'CENTRAL DIVISION'",MISC,,,Divisions of leagues not considered entities,,,
,dev,12,,,Wrong,"[519, 535): 'WESTERN DIVISION'",MISC,,,Divisions of leagues not considered entities,,,
,dev,12,,,Wrong,"[819, 835): 'EASTERN DIVISION'",MISC,,,Divisions of leagues not considered entities,,,
,dev,12,,,Wrong,"[962, 978): 'CENTRAL DIVISION'",MISC,,,Divisions of leagues not considered entities,,,
,dev,12,,,Wrong,"[1095, 1111): 'WESTERN DIVISION'",MISC,,,Divisions of leagues not considered entities,,,
,dev,12,,,Tag,"[672, 679): 'DETROIT'",LOC,"[672, 679): 'DETROIT'",ORG,Baseball team,,,
,dev,12,,,Tag,"[691, 698): 'TORONTO'",LOC,"[691, 698): 'TORONTO'",ORG,Baseball team,,,
,dev,12,,,Tag,"[712, 721): 'MILWAUKEE'",LOC,"[712, 721): 'MILWAUKEE'",ORG,Baseball team,,,
,dev,12,,,Tag,"[753, 763): 'CALIFORNIA'",LOC,"[753, 763): 'CALIFORNIA'",ORG,Baseball team,,,
,dev,12,,,Tag,"[774, 781): 'OAKLAND'",LOC,"[774, 781): 'OAKLAND'",ORG,Baseball team,,,
,dev,12,,,Tag,"[795, 802): 'SEATTLE'",LOC,"[795, 802): 'SEATTLE'",ORG,Baseball team,,,
,dev,12,,,Tag,"[1247, 1254): 'CHICAGO'",LOC,"[1247, 1254): 'CHICAGO'",ORG,Baseball team,,,
,dev,12,,,Tag,"[1266, 1276): 'CINCINNATI'",LOC,"[1266, 1276): 'CINCINNATI'",ORG,Baseball team,,,
13,dev,12,"[1290, 1310): 'MONTREAL LOS ANGELES'",LOC,Tag,"[1290, 1298): 'MONTREAL'",LOC,"[1290, 1298): 'MONTREAL'",ORG,Baseball team,,,
13,dev,12,"[1314, 1334): 'PHILADELPHIA HOUSTON'",LOC,Tag,"[1314, 1326): 'PHILADELPHIA'",LOC,"[1314, 1326): 'PHILADELPHIA'",ORG,Baseball team,,,
14,dev,12,"[1338, 1362): 'PITTSBURGH SAN FRANCISCO'",LOC,Tag,"[1338, 1348): 'PITTSBURGH'",LOC,"[1338, 1348): 'PITTSBURGH'",ORG,Baseball team,,,
14,dev,12,"[1366, 1383): 'NEW YORK COLORADO'",LOC,Tag,"[1366, 1374): 'NEW YORK'",LOC,"[1366, 1374): 'NEW YORK'",ORG,Baseball team,,,
12,dev,12,"[735, 749): 'TEXAS NEW YORK'",LOC,Tag,"[735, 740): 'TEXAS'",LOC,"[735, 740): 'TEXAS'",ORG,Baseball team,,,
17,dev,13,"[83, 104): 'Major League Baseball'",MISC,Sentence,"[83, 95): 'Major League'",MISC,,,"Sentence boundary between ""League"" and ""Baseball""",,,
13,dev,14,"[255, 259): 'U.S.'",MISC,None,"[255, 264): 'U.S. Open'",MISC,,,,,,
13,dev,14,"[3579, 3583): 'Rios'",ORG,None,"[3579, 3583): 'Rios'",PER,,,"Ambiguous: ""a Rios rooting section"" -- MISC?",,,
15,dev,14,"[452, 459): 'Stadium'",LOC,Missing,,,,,a two hour 51 minute struggle on the Stadium court.,,,
17,dev,15,"[109, 133): 'National Football League'",MISC,None,"109, 133): 'National Football League'",ORG,,,,,,
14,dev,15,"[24, 40): 'FOOTBALL-RANDALL'",PER,Token,"[41, 51): 'CUNNINGHAM'",PER,"[33, 51): 'RANDALL CUNNINGHAM'",PER,"""FOOTBALL-RANDALL"" treated as a single token",,,
17,dev,16,"[407, 418): 'Willie Wood'",PER,Sentence,"[407, 413): 'Willie'",PER,,,Sentence boundary between first and last name,,,
17,dev,16,"[407, 418): 'Willie Wood'",PER,Sentence,"[414, 418): 'Wood'",PER,,,Sentence boundary between first and last name,,,
17,dev,16,"[529, 538): 'Ken Green'",PER,Sentence,"[529, 532): 'Ken'",PER,,,Sentence boundary between first and last name,,,
17,dev,16,"[529, 538): 'Ken Green'",PER,Sentence,"[533, 538): 'Green'",PER,,,Sentence boundary between first and last name,,,
12,dev,19,"[815, 828): 'Atlanta Games'",LOC,None,"[815, 828): 'Atlanta Games'",MISC,,,Reference to 1996 Olympics,,,
17,dev,20,"[5415, 5433): 'Frankie Fredericks'",PER,Sentence,"[5415, 5422): 'Frankie'",PER,,,Sentence boundary between first and last name,,,
17,dev,20,"[5415, 5433): 'Frankie Fredericks'",PER,Sentence,"[5423, 5433): 'Fredericks'",PER,,,Sentence boundary between first and last name,,,
17,dev,20,"[5643, 5665): 'George Panayiotopoulos'",PER,Sentence,"[5643, 5649): 'George'",PER,,,Sentence boundary between first and last name,,,
17,dev,20,"[5643, 5665): 'George Panayiotopoulos'",PER,Sentence,"[5650, 5665): 'Panayiotopoulos'",PER,,,Sentence boundary between first and last name,,,
17,dev,22,"[236, 244): 'Sarajevo'",LOC,None,"[213, 244): 'Solidarity Meeting for Sarajevo'",MISC,,,,,,
17,dev,24,"[817, 825): 'ex-Milan'",ORG,None,"[817, 825): 'ex-Milan'",MISC,,,,,,
17,dev,26,"[97, 116): 'Singer World Series'",MISC,Sentence,"[97, 103): 'Singer'",MISC,,,"Sentence boundary between ""Singer"" and ""World""",,,
17,dev,26,"[97, 116): 'Singer World Series'",MISC,Sentence,"[104, 116): 'World Series'",MISC,,,"Sentence boundary between ""Singer"" and ""World""",,,
16,dev,28,"[291, 306): 'Damien Flemming'",PER,Sentence,"[291, 297): 'Damien'",PER,,,Sentence boundary between first and last name,,,
16,dev,28,"[291, 306): 'Damien Flemming'",PER,Sentence,"[298, 306): 'Flemming'",PER,,,Sentence boundary between first and last name,,,
17,dev,28,"[352, 365): 'Ricky Ponting'",PER,Sentence,"[352, 357): 'Ricky'",PER,,,Sentence boundary between first and last name,,,
17,dev,28,"[352, 365): 'Ricky Ponting'",PER,Sentence,"[358, 365): 'Ponting'",PER,,,Sentence boundary between first and last name,,,
17,dev,28,"[411, 422): 'Steve Waugh'",PER,Sentence,"[411, 416): 'Steve'",PER,,,Sentence boundary between first and last name,,,
